Variant,Draft,Beam,Water,Fuel,Cabins,Displacement,Make,vscore,Length
Dufour 450 Liberty version,6.4,14.27,150.05,66.04,3.0,22024.0,Dufour,164611.56115901662,45.0
Grand Soleil 45,6.975,13.5,106.0,60.0,3.0,22325.333333333332,Grand Soleil,223443.16524925668,45.0
Jeanneau Sun Odyssey 45 Performance,7.55,14.34,134.0,61.7,2.0,22626.666666666668,Jeanneau,146949.00494002423,45.0
Jeanneau Sun Odyssey 45 DS,6.73,14.34,162.0,63.4,3.0,22928.0,Jeanneau,206350.35351405072,45.0
Elan Impression 444,6.550000000000001,13.0,136.475,59.44,3.5,24037.666666666668,Elan,117908.63397516072,45.0
Jeanneau Sun Odyssey 45,6.37,14.34,110.95,55.48,4.0,25147.333333333332,Jeanneau,154725.74698275115,45.0
Bavaria C45 Holiday,6.63,14.73,171.71,66.04,3.75,26257.0,Bavaria,199014.73935214416,45.0
Jeanneau Sun Odyssey 44i,7.043333333333333,14.280000000000001,129.445,59.435,3.5,25426.75,Jeanneau,152327.43170099583,45.0
Jeanneau Sun Odyssey 449,7.456666666666667,13.83,87.18,52.83,3.25,24596.5,Jeanneau,146606.8027247446,45.0
Comar Comet 450,7.87,13.78,158.5,47.55,3.0,23766.25,Comar,133109.13624245056,45.0
Hunter 45cc,5.0,14.5,149.0,75.0,2.0,22936.0,Hunter,232850.34872526512,45.0
Jeanneau 45 Sun Odyssey Performance,6.73,14.34,238.0,63.4,3.0,23968.65,Jeanneau,160719.41684975743,45.0
Catalina Morgan 440,4.92,14.0,176.0,117.0,2.0,25001.3,Catalina,250789.9935373329,46.0
Nautor Swan 46,6.56,14.47,126.83,99.06,2.0,26033.949999999997,Nautor,600999.89103921,46.0
Beneteau Sense 46,7.05,14.53,140.01,52.83,2.3333333333333335,27066.6,Beneteau,267892.62766152166,46.0
Delphia 46 cc,7.55,14.7,158.5,105.67,2.6666666666666665,30800.0,Delphia,305689.1230213058,46.0
Comar Comet 45s,8.37,13.88,158.5,47.55,3.0,30228.571428571428,Comar,181667.7249733653,46.0
Comar Comet 45S,8.37,13.88,158.5,47.55,3.0,29657.14285714286,Comar,223931.61094879807,46.0
Catalina Morgan 440 DS Sloop,6.0,14.0,160.25,55.275,2.0,29085.714285714286,Catalina,259314.79597886075,46.0
Jeanneau Sun Odyssey 469,7.33,14.75,162.0,63.0,3.0,28514.285714285714,Jeanneau,174341.69541933964,46.0
Jeanneau Sun Odyssey 479,6.72,14.67,169.0,63.0,3.0,27942.85714285714,Jeanneau,170574.1000683583,46.0
Moody 45 Classic,6.11,13.67,167.0,67.5,3.0,27371.428571428572,Moody,306511.215098737,46.0
Cabo Rico 42,5.5,12.67,165.0,72.0,3.0,26800.0,Cabo Rico,369253.7097821037,46.0
Malo 46,6.99,13.52,156.66666666666666,70.0,3.0,25774.0,Malo,515426.2812386704,46.0
Oyster 46,7.25,14.0,148.33333333333334,68.0,3.0,24748.0,Oyster,646990.4159672576,46.0
Dufour 460,6.33,14.75,140.0,66.0,3.0,23722.0,Dufour,177308.1885908693,46.0
Dufour 460 GL,6.33,14.83,140.0,66.0,3.0,23721.0,Dufour,182392.8813615073,46.0
Hylas 46,6.5,13.75,140.0,180.0,3.0,27777.0,Hylas,435331.6517816554,46.0
X-Yachts X-46,7.87,13.62,100.39,52.83,3.0,25658.5,X-Yachts,256458.4543083338,46.0
Azuree 46,8.53,13.94,97.74,56.8,3.0,23540.0,Azuree,308399.05591991654,46.0
X-Yachts X4.6,8.17,14.0,95.0,74.0,3.0,25630.0,X-Yachts,355104.9555527227,46.0
Bavaria 46 Cruiser,6.89,14.27,95.1,54.95,3.0,27720.0,Bavaria,142824.78800539573,46.0
Bavaria Cruiser 46,6.89,14.27,95.1,54.95,3.0,27720.0,Bavaria,143609.4975666423,46.0
Bavaria Cruiser 46 Style,6.89,14.27,55.48,95.1,4.0,27720.0,Bavaria,211684.52235071405,46.0
Hanse 461,7.55,14.67,105.0,66.04,3.0,26235.0,Hanse,236148.9319973408,46.0
Van De Stadt Beluga 46,7.22,14.469999999999999,100.05,60.495000000000005,3.0,26977.5,Van De Stadt,390128.00982219214,46.0
Bavaria Cruiser 46S,6.89,14.27,95.1,54.95,3.0,27720.0,Bavaria,192589.16263198067,46.0
Tayana Pilothouse,6.0,13.58,240.0,325.0,3.0,27720.0,Tayana,302361.9453539941,46.0
Bavaria Vision 46,7.02,13.75,128.0,46.0,3.0,27720.0,Bavaria,229345.21557517783,46.0
Sweden Yachts 45,7.05,13.06,139.5,49.5,3.0,27606.0,Sweden Yachts,385975.4684752129,46.0
Beneteau First 45,6.506666666666667,13.75,151.0,53.0,3.0,27492.0,Beneteau,198525.9592082407,46.0
Hunter 466,5.963333333333333,14.0,200.0,100.0,3.0,27378.0,Hunter,221574.2494285202,46.0
Hunter Passage 456,5.42,14.0,600.0,100.0,2.0,27264.0,Hunter,186830.3582459416,46.0
Sabre 456 MK II,5.5,14.08,200.0,100.0,2.3333333333333335,27150.0,Sabre,514632.87963910826,46.0
Dufour 460 Performance,6.33,14.83,140.0,66.0,2.6666666666666665,23721.0,Dufour,140422.59613617038,46.0
Jeanneau 469,7.33,14.75,162.0,63.0,3.0,23641.333333333332,Jeanneau,236164.57784543143,47.0
Beneteau Oceanis 46.1,7.125,14.75,186.0,65.0,3.0,23561.666666666668,Beneteau,245469.43308039044,47.0
Beneteau Oceanis 473,6.92,14.17,210.0,67.0,3.0,23482.0,Beneteau,233800.49373350636,47.0
Hanse 470e,7.71,14.63,105.67,66.04,3.0,23402.333333333332,Hanse,227044.0375730179,47.0
Hanse 470,8.53,14.63,105.67,66.04,3.0,23322.666666666668,Hanse,230544.1569450896,47.0
Beneteau Oceanis 46 Family,7.265,13.94,127.83500000000001,52.83,2.5,23243.0,Beneteau,135444.0,47.0
Passport 470,6.0,14.17,150.0,160.0,2.0,24314.4,Passport,634024.6761683145,47.0
Catalina 470,5.75,14.0,1000.0,176.0,2.5,25385.8,Catalina,302297.3757848514,47.0
Hallberg-Rassy 44,6.89,13.78,196.81,110.95,3.0,26457.2,Hallberg-Rassy,464550.46850473806,47.0
Grand Soleil 46,8.37,14.07,118.88,66.04,3.0,27528.6,Grand Soleil,305892.3488572396,47.0
Grand Soleil 46 Jezequel,6.56,13.78,125.94,59.52,3.0,28600.0,Grand Soleil,204622.0162714864,47.0
Poncin HARMONY 47,7.05,13.94,133.0,53.0,3.0,23479.0,Poncin,141912.4515590139,47.0
Wauquiez Pilot Saloon 47,7.05,15.16,159.0,159.0,3.0,30870.0,Wauquiez,355189.0772139468,47.0
Bavaria 47 Cruiser,6.17,14.4,55.48,121.52,3.0,27720.0,Bavaria,158985.01377184442,47.0
Grand Soleil 46 LC,11.5,15.33,221.0,78.0,3.0,26015.0,Grand Soleil,403315.1632609496,47.0
Boreal 47,8.14,14.4,167.75,167.75,3.5,24310.0,Boreal,462090.6119305894,47.0
Beneteau Oceanis Clipper 473,7.25,14.8,184.0,132.0,4.0,22605.0,Beneteau,184906.4375525184,47.0
Beneteau Oceanis 46,6.92,14.11,450.0,53.0,3.0,20900.0,Beneteau,183414.6796702498,47.0
Sly 47,9.84,13.12,132.09,27.47,3.0,22013.25,Sly,189040.75735273716,47.0
Harmony 47,6.89,13.0,142.66,39.01,3.0,23126.5,Harmony,107081.45185151076,47.0
Dehler 47 SQ,6.484999999999999,13.81,153.23000000000002,50.55,3.0,24239.75,Dehler,275673.20548567263,47.0
Beneteau First 47.7,6.08,14.75,163.8,62.09,3.0,25353.0,Beneteau,167220.3816264009,47.0
Dehler 47,7.87,13.81,140.9,92.46,3.0,24825.5,Dehler,221781.30114866048,47.0
Dehler 46,7.42,14.25,118.0,55.0,3.0,24298.0,Dehler,288980.17452490295,47.0
Passport 470 Center Cockpit,7.4925,14.094999999999999,129.1175,84.17750000000001,2.8,23770.5,Passport,550861.8976339994,47.0
Beneteau Oceanis 46 Owner Version,7.5649999999999995,13.94,140.235,113.355,2.6,23243.0,Beneteau,176300.10359902377,47.0
Oyster 475,7.6375,14.53,151.3525,142.5325,2.4,27162.0,Oyster,588326.2111925099,48.0
Wauquiez Pilot Saloon 48,7.71,15.12,162.47,171.71,2.2,31081.0,Wauquiez,476849.2063933944,48.0
Tayana 48,6.0,14.6,500.0,150.0,2.0,35000.0,Tayana,500477.5562392012,48.0
Morris Ocean Series 48,5.83,13.83,120.0,600.0,2.0,31830.0,Morris,628012.2217530247,48.0
Solaris 48 ONE,8.69,14.44,132.09,79.25,3.0,28660.0,Solaris,409189.2844591136,48.0
Solaris 48,7.87,14.34,132.09,79.25,3.0,28219.0,Solaris,353551.5579281567,48.0
Sly 48C,8.646666666666667,13.78,123.39333333333333,111.16666666666667,3.0,32768.333333333336,Sly,307034.6268988734,48.0
Caliber 47 LRC SE,9.423333333333332,13.17,114.69666666666667,143.08333333333334,3.0,37317.666666666664,Caliber,358427.54961409734,48.0
Southerly 48,10.2,14.6,106.0,175.0,3.0,41867.0,Southerly,741689.4021618229,48.0
Caliber 47LRC,5.15,13.16,225.07,277.12,3.0,32931.8,Caliber,428694.2636128083,48.0
Beneteau Oceanis 48,7.08,15.58,147.0,106.0,3.0,33743.9,Beneteau,203481.3720405308,48.0
Moody 49,6.58,14.42,139.0,176.0,3.0,34556.0,Moody,533535.059541077,48.0
Grand Soleil 47,8.53,14.11,127.62,117.06,3.0,24420.0,Grand Soleil,451006.2577313062,48.0
Dufour 485,6.89,13.62,116.24,58.12,3.0,24832.5,Dufour,241297.72120551651,48.0
Elan Impression 494,5.945,15.33,116.24,58.12,3.0,25245.0,Elan,162264.77615274984,48.0
Island Packet 465,5.0,14.4,116.24,58.12,3.0,25657.5,Island Packet,388948.33155923913,48.0
Dufour 485 GL,6.89,13.62,116.24,58.12,3.0,26070.0,Dufour,228194.39402468357,48.0
Jeanneau Sun Odyssey 490,7.01,14.73,169.07,63.4,5.0,26482.5,Jeanneau,207587.37057195167,48.0
Jeanneau Sun Odyssey 48 DS,7.13,15.325,181.035,141.7,4.5,26895.0,Jeanneau,267751.602866033,48.0
Beneteau Sense 50,7.25,15.92,193.0,220.0,4.0,27307.5,Beneteau,311933.90192176815,49.0
Bavaria 51 Cruiser,6.07,14.73,198.13,84.01,3.5,27720.0,Bavaria,174309.34193732514,49.0
Bavaria 51 Cruiser Style,7.38,15.32,147.94,73.97,3.0,31020.0,Bavaria,209754.8232028357,49.0
Dufour 500 GL,6.33,15.67,180.0,132.0,3.0,29920.0,Dufour,275359.5668381618,49.0
Dufour 500,6.56,13.12,163.97,105.495,3.0,28820.0,Dufour,163009.6379274849,49.0
Bavaria 50 Cruiser,6.07,15.32,147.94,78.99,3.0,27720.0,Bavaria,166138.49403214653,49.0
Elan 494 Impression,6.535,15.33,154.97,70.995,3.0,27749.0,Elan,151056.4936561443,49.0
Jeanneau 49i,7.0,14.75,162.0,63.0,3.0,27778.0,Jeanneau,221267.44280791545,49.0
Bavaria Cruiser 50,6.07,15.32,147.94,78.99,2.6666666666666665,27720.0,Bavaria,258549.17113978983,49.0
Hylas 49,6.33,14.25,200.0,195.0,2.3333333333333335,39167.0,Hylas,609629.4255918574,49.0
Beneteau America 50,7.1,11.15,26.42,13.21,2.0,7700.0,Beneteau,158420.04693209735,49.0
Beneteau First 50,7.87,14.47,150.05,62.61,3.0,10175.0,Beneteau,292689.0233242758,49.0
Jeanneau Sun Odyssey 50 DS,7.08,14.67,100.0,126.0,3.0,12650.0,Jeanneau,233494.22227962143,49.0
Beneteau First 50 Sport,7.87,14.47,150.05,62.61,3.0,15125.0,Beneteau,329425.0498068641,49.0
Hunter OV,7.38,15.254999999999999,204.47,84.14,4.0,17600.0,Hunter,219000.0,49.0
Beneteau Oceanis 50.5,6.89,16.04,258.89,105.67,5.0,20075.0,Beneteau,175930.6369776091,49.0
Beneteau Oceanis 49,6.23,14.37,195.49,132.085,3.0,22550.0,Beneteau,266110.5923299422,49.0
Grand Soleil 48 Ocean Cruiser,6.56,13.78,132.09,158.5,3.0,25025.0,Grand Soleil,191833.0744515331,49.0
Beneteau Oceanis 50,5.92,14.67,149.0,62.0,3.0,27500.0,Beneteau,223553.0731132888,49.0
Jeanneau Sun Odyssey 49i Performance,7.71,14.73,154.01749999999998,63.4,2.75,29975.0,Jeanneau,163981.42362291866,49.0
Jeanneau Sun Odyssey 49i,7.4366666666666665,14.633333333333333,159.035,112.71333333333334,2.5,32450.0,Jeanneau,150015.1887333951,49.0
Jeanneau Sun Odyssey 49DS,7.163333333333333,14.536666666666667,164.0525,162.02666666666667,2.25,34925.0,Jeanneau,225709.3439638157,49.0
Bestevaer 49ST,6.89,14.44,169.07,211.34,2.0,37400.0,Bestevaer,781016.8742349918,49.0
Jeanneau Sun Odyssey 49 Owners Version,6.8100000000000005,14.455,165.54666666666665,164.67000000000002,2.6666666666666665,37883.71428571428,Jeanneau,224779.7879348837,49.0
Jeanneau Sun Odyssey 49 DS,6.73,14.47,162.02333333333334,118.00000000000001,3.333333333333333,38367.42857142857,Jeanneau,271074.74991235853,49.0
Jeanneau Sun Odyssey 49,5.41,14.73,158.5,71.33,4.0,38851.142857142855,Jeanneau,240004.63727236612,49.0
Beneteau Oceanis 50 F G5,6.495,14.75,170.0,106.0,5.0,39334.857142857145,Beneteau,180980.9144506884,49.0
Grand Soleil 50,7.58,15.0,122.0,77.0,3.0,39818.57142857143,Grand Soleil,330276.31083785364,49.0
Contest 50CS,7.58,16.83,185.0,185.0,3.0,40302.28571428572,Contest,640424.5902194215,49.0
Hallberg-Rassy 48,7.71,14.76,240.4,105.67,4.0,40786.0,Hallberg-Rassy,589342.97495376,49.0
Beneteau Oceanis 50 Family,6.56,15.81,258.89,105.67,5.0,38394.0,Beneteau,187395.0528449741,49.0
Jeanneau Sun Odyssey 49 Owners version,7.055,15.780000000000001,221.90499999999997,112.275,4.0,36002.0,Jeanneau,327601.457777954,49.0
Dufour 520,7.55,15.75,184.92,118.88,3.0,33610.0,Dufour,264844.0878956324,50.0
Dufour 520 GL,7.55,15.75,184.92,118.88,3.0,33610.0,Dufour,284124.73272116546,50.0
Dufour 520 GL Owner Version,7.55,15.75,191.52499999999998,125.485,3.0,33062.333333333336,Dufour,301961.48982336983,50.0
Dufour 525 GL,8.37,16.08,198.13,132.09,3.5,32514.666666666668,Dufour,307808.67479420366,50.0
Solaris 50,9.19,14.93,118.88,73.97,4.0,31967.0,Solaris,569807.6542010676,50.0
Jeanneau Sun Odyssey 509,5.42,15.33,80.0,63.0,3.0,31606.46153846154,Jeanneau,213023.9787804137,50.0
Vismara V50 Mills,9.84,15.42,132.09,105.67,3.0,31245.923076923078,Vismara,569934.7704725831,50.0
Hanse 505,6.42,15.58,170.0,60.0,3.0,30885.384615384617,Hanse,242547.9976222644,50.0
Hanse 495,7.81,15.58,171.71,79.25,3.0,30524.846153846152,Hanse,245175.85707587097,50.0
Vismara V50,8.2,14.76,211.34,79.25,3.0,30164.30769230769,Vismara,478974.0786262362,50.0
Vismara V50 DS,7.6274999999999995,15.055,185.57999999999998,78.59,4.5,29803.76923076923,Vismara,527684.0791328073,50.0
Elan 50,7.055,15.35,159.82,77.93,6.0,29443.23076923077,Elan,191297.0573625228,50.0
Elan 50 Impression,6.4825,15.35,159.82,77.93,6.0,29082.69230769231,Elan,171556.5119477648,50.0
Bavaria 49 Cruiser,5.91,14.63,211.34,92.46,5.0,28722.153846153848,Bavaria,163226.1452306377,50.0
X-Yachts 50,9.84,14.04,118.89,63.7,3.0,28361.615384615383,X-Yachts,464444.4687639586,50.0
Elan Impression 50,9.84,15.35,159.82,77.93,6.0,28001.076923076922,Elan,168798.56019591287,50.0
X-Yachts X-50,9.84,14.04,118.89,63.4,3.0,27640.53846153846,X-Yachts,479564.5118821648,50.0
X-Yachts X-50 Modern,8.870000000000001,14.05,129.71,105.67,3.0,27280.0,X-Yachts,463864.6686218765,50.0
X-Yachts Xc 50,7.9,15.1,213.0,162.0,3.0,35461.0,X-Yachts,556928.8142167394,50.0
X-Yachts XP50,7.2,15.0,189.5,118.0,3.0,25520.0,X-Yachts,544424.4612706855,50.0
Hanse 508,6.5,15.58,166.0,74.0,3.0,32408.0,Hanse,209361.00757545416,50.0
Hunter 49,5.5,14.75,200.0,150.0,4.0,32813.0,Hunter,267309.3854862376,50.0
Dufour 512 GL,6.89,15.68,190.2,132.09,5.0,32379.325,Dufour,273448.0965968333,50.0
Hunter 50 Center Cockpit,5.5,14.75,192.0,162.0,2.0,31945.65,Hunter,286978.11722563545,50.0
Hunter 50,4.92,14.01,126.8,211.34,3.0,31511.975,Hunter,269967.5550472504,50.0
Jeanneau 509,5.42,15.33,80.0,63.0,3.0,31078.3,Jeanneau,293239.2092115901,50.0
Nautor Swan ClubSwan 50,11.48,13.78,63.4,44.91,2.0,30644.625,Nautor,919124.1763732844,50.0
Najad 505,11.48,15.0,108.92666666666666,79.95666666666668,2.0,30210.949999999997,Najad,489465.83395653166,50.0
Nautor Swan 50,11.48,13.78,154.45333333333332,115.00333333333334,2.3333333333333335,29777.274999999998,Nautor,843003.3865312282,50.0
Hunter AC 50,6.99,14.76,199.98,150.05,2.6666666666666665,29343.6,Hunter,280000.0,50.0
Beneteau Oceanis 51.1,6.33,15.75,201.0,106.0,3.0,29169.899999999998,Beneteau,269723.6973044361,51.0
Jeanneau Sun Odyssey 519,5.67,13.33,163.0,126.0,4.0,28996.199999999997,Jeanneau,241035.59157845707,51.0
Beneteau Sense 51,6.08,15.92,151.0,110.0,3.0,28822.5,Beneteau,412488.364725065,51.0
Jeanneau 51,7.42,15.42,169.0,63.0,3.0,28648.8,Jeanneau,281841.2675236652,51.0
Passport Vista 515 Center Cockpit,7.81,14.93,169.5,77.72999999999999,3.0,28475.1,Passport,823324.4772328829,51.0
Comar Comet 51S,8.2,14.44,170.0,92.46,3.0,28301.4,Comar,262775.26001012523,51.0
Beneteau Oceanis 51,7.633333333333333,15.75,201.0,106.0,3.0,28127.7,Beneteau,180223.78320530825,51.0
Beneteau Cyclades 50.5,7.066666666666666,16.08,225.75,154.5,2.5,27954.0,Beneteau,175386.26086615757,51.0
Tayana 52 DS,6.5,15.08,250.5,203.0,2.0,34715.5,Tayana,401316.76383348304,52.0
Tofinou 16,8.75,14.08,275.25,251.5,2.5,41477.0,Tofinou,438244.785822661,52.0
Island Packet 485,5.25,15.33,300.0,300.0,3.0,48238.5,Island Packet,592520.1605769682,52.0
Comar Comet 52 RS,7.875,16.08,229.25,202.835,4.0,55000.0,Comar,306149.36984217993,52.0
Vismara V52,10.5,13.71,158.5,105.67,3.0,52245.2,Vismara,467454.3162622326,52.0
Hanse 540,7.97,16.11,501.75,105.33500000000001,3.0,49490.4,Hanse,277511.2796395817,52.0
Elan 514 IMPRESSION,6.56,13.12,845.0,105.0,3.0,46735.6,Elan,185468.48654890608,52.0
Vismara 52 Carbon,7.265,14.614999999999998,646.9866666666667,149.25,3.0,43980.8,Vismara,464773.19043043,52.0
Hanse 540e,7.97,16.11,448.97333333333336,193.5,3.0,41226.0,Hanse,310692.2515085448,52.0
Zuanelli 52 DH,8.3,14.86,250.96,237.75,3.3333333333333335,45100.0,Zuanelli,448858.3529516492,52.0
Poncin harmony 52,6.07,15.09,264.0,127.0,3.6666666666666665,29762.0,Poncin,109294.69578838808,52.0
Beneteau Oceanis Clipper 523,7.71,16.01,224.55,118.88,4.0,31401.666666666668,Beneteau,256466.7204097809,53.0
Jeanneau 53,5.83,15.58,251.0,63.0,3.5,33041.333333333336,Jeanneau,235331.30580989504,53.0
Jeanneau Sun Odyssey 53,5.915,15.79,299.42,121.25,3.0,34681.0,Jeanneau,318196.24410217383,53.0
Beneteau 523,6.0,16.0,347.84,179.5,2.5,36320.666666666664,Beneteau,371852.6842553981,53.0
Van De Stadt Stainless Steel Cutter,6.56,15.09,396.26,237.75,2.0,37960.333333333336,Van De Stadt,391868.1612612224,53.0
Bestevaer 53ST,7.55,15.22,317.01,290.59,2.5,39600.0,Bestevaer,1001666.8515646778,53.0
Grand Soleil 54,8.83,15.25,160.0,105.0,3.0,41580.0,Grand Soleil,479031.6580782281,53.0
Sunbeam 53,7.87,14.93,145.29,224.55,3.0,43560.0,Sunbeam,523978.5228305179,53.0
Sly 53,9.84,14.44,158.8,84.54,3.0,42976.5,Sly,395923.979849942,53.0
Beneteau Oceanis 523 A,6.0,16.0,165.35000000000002,89.905,3.0,42393.0,Beneteau,251675.3820893235,53.0
Beneteau Oceanis 523,6.0,16.0,171.9,95.27000000000001,3.0,41809.5,Beneteau,342421.1259156362,53.0
Hanse 531,7.0,17.25,178.45,100.635,3.0,41226.0,Hanse,319219.6661377907,53.0
Hanse 545,8.0,16.08,185.0,106.0,3.0,41226.0,Hanse,301252.8102670672,53.0
Oyster 53,7.25,15.25,237.75,237.75,3.0,49053.0,Oyster,710467.00973517,53.0
Southerly 535,3.2,15.9,211.34,237.75,3.0,51260.0,Southerly,823057.8057950832,53.0
Bavaria 56 Cruiser,8.08,15.58,182.28,79.25,3.142857142857143,42624.333333333336,Bavaria,259714.25601046887,54.0
Beneteau Oceanis 54,8.04,16.42,190.0,106.0,3.2857142857142856,33988.66666666667,Beneteau,249904.7321138503,54.0
Alubat CIGALE 16,8.0,16.0,66.0,244.0,3.4285714285714284,25353.0,Alubat,387311.358524686,54.0
Sweden Yachts 54,7.8,14.1,159.0,212.0,3.571428571428571,38140.0,Sweden Yachts,804737.1816279376,54.0
Moody 54,7.5,15.92,252.0,180.0,3.7142857142857144,44132.0,Moody,695474.317318412,54.0
Vismara 54,7.375,16.25,227.5,158.5,3.857142857142857,43671.5,Vismara,479805.0,54.0
Hanse 548,7.25,16.58,203.0,137.0,4.0,43211.0,Hanse,361832.5751759688,54.0
Passport 545 Aft Cockpit,6.0,15.0,200.565,180.775,2.0,42066.57142857143,Passport,706914.0373634152,54.0
Oyster 54,7.97,15.58,198.13,224.55,3.0,40922.142857142855,Oyster,767632.8377966412,54.0
Oyster 545,6.984999999999999,15.58,396.26,449.1,3.0,39777.71428571429,Oyster,994450.3347508764,54.0
Passport Vista 545 Center Cockpit,6.0,15.5,250.0,286.0,2.0,38633.28571428572,Passport,801840.0532475212,54.0
Nautor Swan 54,8.01,15.58,381.0,251.0,3.0,37488.857142857145,Nautor,1195023.9084320904,54.0
Jeanneau Sun Odyssey 54 DS,7.5,16.0,512.0,216.0,3.0,36344.42857142857,Jeanneau,339132.5987983891,55.0
Alliage AZZURO 53,9.84,15.75,200.77,177.0,3.0,35200.0,Alliage,633076.3091624355,55.0
X-Yachts X-55,10.5,15.0,300.385,154.98333333333335,3.0,26675.0,X-Yachts,627711.0950407734,55.0
Beneteau OCEANIS 55,9.925,16.24,400.0,132.96666666666667,3.0,18150.0,Beneteau,447321.73437670775,55.0
Grand Soleil 56 EXTREME,9.35,15.85,158.5,110.95,3.0,18150.0,Grand Soleil,503556.6454614139,55.0
Contest 55CS,8.25,16.33,159.5,187.0,3.0,18150.0,Contest,647745.0477909376,55.0
Hallberg-Rassy 54,11.965,15.42,239.66666666666669,167.9875,3.0,18150.0,Hallberg-Rassy,997311.4847738862,55.0
Discovery 55,15.68,15.829999999999998,319.83333333333337,148.975,3.0,18150.0,Discovery,975784.9602768678,55.0
Beneteau Oceanis 55,12.515,16.24,400.0,129.9625,3.0,18150.0,Beneteau,383804.1441593303,55.0
Grand Soleil 56,9.35,15.85,158.5,110.95,3.0,22362.5,Grand Soleil,484024.0816207464,55.0
Beneteau Oceanis 55.1,7.55,16.27,264.17,105.67,4.0,26575.0,Beneteau,437147.93056758656,55.0
Beneteau Sense 55,7.275,16.33,256.0,219.0,3.0,30787.5,Beneteau,302224.45556436875,56.0
Amel 54,7.0,16.0,237.0,237.0,3.5,35000.0,Amel,604848.7262207716,56.0
Dufour 56 Exclusive,8.17,16.58,180.0,132.0,4.0,38856.0,Dufour,318979.7875404904,56.0
Hanse 588,7.42,17.08,203.0,137.0,4.0,50265.0,Hanse,464369.25650005945,56.0
Hanse 575,9.33,17.0,214.0,138.0,4.0,42990.0,Hanse,422871.9292153786,56.0
Beneteau 56,9.33,7.55,214.0,138.0,4.0,42990.0,Beneteau,497567.0994420931,56.0
